reviewText,unixReviewTime,reviewTime,rating,label
"THIS DVD SET IS GREAT!! IF YOU LIKE DEAN MARTIN MOVIES AND 007 JAMES BOND, THEN YOU WILL LIKE THESE ONES. IT HAS ACTION,COMEDY,SOME ROMANCE.I LIKED WATCHING THESE MOVIES WHEN I WAS YOUNGER, AND I WANTED TO GET THEM ON A DVD SET A FEW MONTHS BEFORE THEY CAME OUT, AND WHEN I HEARD THEY WERE COMING OUT WITH THEM A FEW MONTHS LATER IT BLEW MY MIND!! IT'S LIKE THEY HEARD ME SAY IT TO MY HUSBAND, THAT I WISH THEY WOULD PUT HIS MOVIES ON A DVD SET, AND A FEW MONTHS LATER THEY CAME OUT WITH IT, STRANGE, HOW COOL IS THAT!!LOL. THIS WOULD MAKE A GREAT COLLECTORS ITEM!! THEY ARE GOOD,AND IF YOU LIKE JAMES BOND MOVIES AND DEAN MARTIN MOVIES, THEN YOU'LL LOVE THESE!!",1193097600,"10 23, 2007",4.0,1
It's cute. My young son enjoyed watching this on Easter.,1473811200,"09 14, 2016",3.0,0
"I happened upon this on Netflix, (never heard of it before). I did manage to make it through the movie - and what a cast - one star after another. However, this does not save the movie from being dull and very, very slow. The acting is superb, the movie is pretty boring and predictable.",1437523200,"07 22, 2015",3.0,0
"Reeves seemed to be on depressants the entire movie--the hostages on the bus were far more entertaining and talented than he ever was in this film.  I'm still aghast at how utterly terrible Reeves' acting was.  It defies all comparison, explanation, and comprehension.I felt immensely sorry for Bullock, having to kiss him and all.  E[...]  I can't believe how popular this movie was.",1015372800,"03 6, 2002",3.0,0
"This movie came out when I was a senior in high school, and it was the theme of our prom that year. I remember that I went to the theater 5 times to see it, plus once more at the drive-in. The scenery, the sets, the lavish costumes, the music, oh the romance! I love this movie from start to finish. That said, it's not a movie for everyone. Most guys I know hate it. I guess it's one of those movies that you either love or hate, and I don't think reading anyone else's review is going to change your mind. If you haven't seen it, give it a chance!",1185840000,"07 31, 2007",5.0,1
Awful awful movie,1405296000,"07 14, 2014",1.0,-1
I love love love this film.  It is truly art and I shall watch it again and again!,1406419200,"07 27, 2014",5.0,1
The movie is good BUT...the ad said the movie would play in the U.S. even though it was rated for Region 2 and I tried everything and it won't play. I have Blue Ray DVD Players.  If you live in the U.S. do not buy this product !!,1370044800,"06 1, 2013",1.0,-1
"Excellent 'who-done-it' film for all ages. Great script, great acting and great filming.",1418256000,"12 11, 2014",5.0,1
Well cast and fun. That's about it. Nothing deep here.,1436572800,"07 11, 2015",3.0,0
"It's alright, nothing to write home about.",1439856000,"08 18, 2015",3.0,0
great movie . the best work he ever did.,1483747200,"01 7, 2017",5.0,1
Just an average plot and acting,1476489600,"10 15, 2016",3.0,0
"I bought this movie for my grandson, and he loved it!",1452384000,"01 10, 2016",5.0,1
"You can't really expect it to not be predictable, but it had a lot of funny parts. The ending was way too rushed. An entertaining watch though.",1349481600,"10 6, 2012",3.0,0
Ok,1461024000,"04 19, 2016",3.0,0
Good price.  DVD has no flaws.  Glad I bought.,1408665600,"08 22, 2014",5.0,1
Ok,1435363200,"06 27, 2015",3.0,0
Wow.  That was truly awful.  I can't say any more,1453939200,"01 28, 2016",1.0,-1
"It sucked. Don't waste your time. Not funny, not intelligent, confusing, nightmarish and no real plot!",1451347200,"12 29, 2015",1.0,-1
"It was in perfect condition. I had not seen it in over 20 years and still like I remembered it. Going to a military  elementary school as a kid, I love all of these types of movie.",1464048000,"05 24, 2016",5.0,1
Very dark cinematography. Hard to see most of the time. interesting turn on vengeance movie.,1427241600,"03 25, 2015",3.0,0
