reviewText,unixReviewTime,reviewTime,rating,label
Really Bad. I tried. I really tried but it's too bad to watch.,1471824000,"08 22, 2016",1.0,-1
"Despite some of the sideshow antics surrounding him, Mike Tyson's life has been very serious. His pre-boxing tale is one of a broken home, a violent youth, multiple incarcerations, and the loss of his mother and his mentor. His professional career was a success because he was the best violent man in a room full of violent men, and it was tainted by alleged nefarious actions by boxing promoter Don King. During that time, Tyson's personal life was plagued by a horrendous celebrity marriage to actress Robin Givens, in-the-ring controversy, out-of-the-ring violence, and a rape conviction with subsequent jail time. His post-boxing life includes the accidental death of one his children.Mike Tyson's life has been very serious. Yet the boxer-turned-celebrity, working from a script written by his current wife Kiki, avoids the opportunity to bare his soul and instead turns Undisputed Truth into Inconceivable Stand-Up.Have no illusions. This is not a case of a man making light of his past because he's learned to laugh in the face of adversity and face new challenges with a smile. This is schtick. Consider this gem of a line: ""The juvenile detention center was like Cheers: there everybody knew my name.""[ crickets ]Director Spike Lee stops short of adding rim shots to punchlines but something about the audience's reactions throughout the show smells funny. There is laughter where it should not be. I don't know if there is a laugh track, or if audience members were directed to laugh loud, or if audio levels were strategically manipulated. But something about much of the laughter rings false. And I don't think it's me. I've seen enough comedy in my life to understand what is meant to be funny even when it isn't funny to me. I understand that humor is as subjective as you can get. This isn't that.Mike Tyson: Undisputed Truth is a difficult watch, a statement that goes beyond the schtick. Tyson, who by the time this was filmed had been through his material countless times, lacks any sense of storytelling timing or cadence. He hits marks and says lines the way someone who can't waltz makes his own matter worse because he's so busy counting 1-2-3, 1-2-3 in his headhe abandons any and all sense of natural action.There were interesting facts to be learned about Tyson and his life, but they whizzed by so quickly in an effort to get to the next joke or the next fact that there was no chance for Tyson to seems reflective or for the viewer to digest them.Tyson also gets winded very easily. I mention this not as a criticism of his physical condition (let's just say I'm no role model), but rather because he is speaking to an audience. After he physically exerts himself (mimicking old boxing moves, for example), he is trying to continue his story through panting breath, which makes him that much more difficult to understand.I lay as much of this at Spike Lee's feet as I do Tyson's. A director is responsible for controlling the actions of his performers. Here, Lee just lets Tyson ramble to whatever words Kiki has put on paper. This includes an incomprehensible 13-minute stretch focused on a story about Mitch Green, a boxer who Tyson defeated in the ring and also had a physical altercation with in the streets. Thirteen minutes! Mitch Green, who is, at best, a footnote in Tyson's history, gets more story time15% of the entire show, by the waythan any other part of Tyson's life. It is stupefying and frustrating and ultimately disappointing.The 1.78:1 anamorphic presentation is perfectly clear, although there is very little to spotlight with a one-man stage show. It captures the lighting well and when the camera cuts to audience members, their shadowy images are clear as well. The mix of Tyson and the crowd heard through the Dolby 5.1 is balanced nicely, and the film's soundtrack, which features songs from artists ranging from Nat King Cole to RUN-DMC, sounds good.In addition to the digital copy, there is only one extra, a featurette titled ""Conversations."" This is nothing more than HBO's 2-1/2 minute promo, where ""conversations"" are actually ""soundbites"" from Tyson, Lee, and others involved in the project.Michael Nazarewycz, VERDICTRead the full review at dvdverdict.com",1392681600,"02 18, 2014",2.0,-1
Great,1476576000,"10 16, 2016",5.0,1
I didn't really like this movie.  I found it kinda gross & hard to understand.  I thought it would be funnier.,1388534400,"01 1, 2014",2.0,-1
funny,1436400000,"07 9, 2015",3.0,0
Great Movie to watch,1419465600,"12 25, 2014",4.0,1
"Reeves seemed to be on depressants the entire movie--the hostages on the bus were far more entertaining and talented than he ever was in this film.  I'm still aghast at how utterly terrible Reeves' acting was.  It defies all comparison, explanation, and comprehension.I felt immensely sorry for Bullock, having to kiss him and all.  E[...]  I can't believe how popular this movie was.",1015372800,"03 6, 2002",3.0,0
"It's an okay show, but not the kind of great work I have seen from Jeremy Pivin.  All in all, it's not bad, but I'm spoiled by Downton Abbey.  That show is fabulous!",1393718400,"03 2, 2014",3.0,0
"This three episode drama (180 minutes) was disappointing. Expecting valid continuing story, extended insight into Elizabeth and Darcy.Wrong!The names are the same. However, the ideas, personality, reactions, premises do not match Jane Austins characters.Elizabeth Bennetts cool, incisive intelligence has disappeared. Darcys principled, serious, determined code has deteriorated into selfish insecurity.What a loss!Oddly, the only character continuing true was Elizabeths scatterbrained sister. Self-centered to the core, horrible judgement, phony in everything, yep, she is the same.Why can/does author so vividly present this silly, failure of a person and so faint an outline of an accomplished life?Well . . . seems the writer just cannot/willnot admit to Jane Austins portrayal of genuine, sincere, real principled character.This story almost seems more a character assassination than a murder mystery.Death comes to pemberly might really refer to the murder of the people in Jane Austins novel.The mystery, trial, verdict didn't catch my interest. Slow and poorly developed.The three hour bbc Pride and Prejudice video is fantastic.This one is clearly not Jane Austin!",1524096000,"04 19, 2018",2.0,-1
"This is a classic. In my opinion it is not slapstick, as some have said. A lot of the humor is more subtle, as in the opening when Mr. Hulot enters the hotel, the wind blows through the lobby area and one lady is pouring tea into a cup farther away. Also, the sound that the door makes as it swings back and forth when someone passes through it is genius. If you are looking for sitcom humor, this is not the movie for you. However, if you like subtle humor with some very funny moments...enjoy.Amazon's delivery was on schedule, and the DVD was in excellent condition.",1414454400,"10 28, 2014",5.0,1
"I knew I was in trouble when the Texas Ranger said Indians are ""just misunderstood."" The rest of the movie was the typical PC take with bad white Christians and good Mexicans and Indians. Woody Harrelson is not right for a cowboy movie. In fact I'm not sure he is right for any acting.",1496620800,"06 5, 2017",2.0,-1
"Took me by complete and utter dismay this. I thought it would fall flat on its knees but it did not and I'm glad I caught it. Most recent remakes of 80s movies are ugly roadkills so you can't actually blame me for thinking so, alright? Remember 'The A Team'? Anyway, the laughs here come hard and fast which is just the way I like my comedy. And my women. Hah. Just a little joke there. Awkward? Okay I'll move right along. Channing Tatum and Jonah Hill play two police officers who fumble more than they rumble. They are taken off the streets and sent to a high school where they are tasked with infiltrating a drug dealing gang. The humor when these two become students is priceless, with plenty of laugh-out-loud hijinks and slapstick. It helps that the two leads are charming too. The story has very little to do with the 80s TV series and the leads are never as cool here as Johnny Depp was when he did the series. In fact, Tatum and Hill are downright silly which I think probably helped the movie considerably because it is hard to top Depp's coolness in the series (back then he was the bomb. Well at least he wasn't wearing pink like Don Johnson in 'Miami Vice'!). Enjoy.",1400544000,"05 20, 2014",3.0,0
"The movie oozes with adolescent immaturity from the opening scenes until the final credits. A successful film that degrades to the inane starts out with something realistic and takes the descent in steps. This one starts with a guy taking a nude blowup doll (while inflated) on a plane.  While the film idea was great, especially the ending, the execution was awful. Poor direction and script. Worth avoiding if you are over 18.F-bomb, lap dancing and groping, less nudity than expected, crude humor.",1336867200,"05 13, 2012",2.0,-1
"I sat down to watch this expecting to mock it for being wooden and mawkish, but instead of laughing at it, I found it to be better than I expected, so I'm inclined to review it fairly positively.You can't escape the fact, though, that it really is simply a vehicle for Liberace, and at 115 minutes long, it outstays its welcome. The extra bloat is all down to prolonged sequences of Liberace playing the piano, which naturally are there to showcase his talent but they really grind the pace of the film to a halt. The story is uncomplicated: Liberace plays a pianist who suddenly loses his hearing which changes his life in more ways than expected.Although Liberace does not have much range as an actor, he does impart some sense of emotion as his life changes. Not a lot, but some. And with him are some more seasoned actors who all acquit themselves fairly well. It's a shame that the story did focus on the plot more than the piano playing, although to see it for the story one could always watch ""The Man Who Played God"", an earlier film that this is a remake of.So basically if you like Liberace as a performer, you could enjoy this. Even I, while getting bored during most of the lengthy concert sequences, did enjoy his ""Boogie-Woogie"" set piece, and I could see how his fans found him to be an entertaining performer. But for anyone watching for the story, it's too melodramatic and preachy in too many places to really draw you in.Probably more of a curiosity piece than anything else, but as I said at the start of the review, it is not a total failure, and actually does stand up as moderately entertaining piece of schmaltz. I was able to buy the UK Region 2 DVD which is a lot less expensive than the Amazon.com far eastern import, although the UK Orbit Media DVD is not great quality, it's in full screen and with faded colours and a blurry image. However it is cheap!Comment",1365552000,"04 10, 2013",2.0,-1
This is a great movie to watch on a rainy day or when you are no feeling good. It is cheesy but fun to watch.,1412812800,"10 9, 2014",5.0,1
"Stupid, should be rated R. Not for children",1466553600,"06 22, 2016",1.0,-1
"Ok , it's a kids movie... I was bored and I was sure I hadn't seen this before and took a shot.... Uhhhhhh..... Couldn't watch it all the way through, got bored.",1388188800,"12 28, 2013",3.0,0
These stories are all different and have twists and turns you didn't see coming.  My husband and I love to watch these together and have the entire series.,1369872000,"05 30, 2013",4.0,1
"Good show, but too early to tell if it deserves five stars..... ok.  This is a really soon update from my previous post.  I am really loving this show.  it has great development, great plot, and intricately woven conflicts to solve through the plot.  Good show.  I recommend.",1445472000,"10 22, 2015",5.0,1
"This movie is too far into knowledge for most people to understand.Don't call it dumb - its a theory - and a mighty entertaining one, may I add.",1442620800,"09 19, 2015",5.0,1
Not bad but wouldn't want to pay for it,1459296000,"03 30, 2016",3.0,0
"Everything that can be said about this superb story, production, acting, etc. has been said.  I was so disappointed, however, when I saw that the color in the DVD was really dreadful. Colin Firth had snow white skin, and pitch black hair and eyes, and poor Jennifer Ehle looked like a witch.  I had just about worn out my video when I bought the DVD - I guess I'll have to buy the video again.",1225929600,"11 6, 2008",2.0,-1
"It's true that the footage is visually stunning.  The camera work is fantastic, and the quality of the video is top of the line.  But this is not a documentary about the great things you'll see diving a reef.  Perhaps that was my mistake in thinking that's what I was buying.This is a propaganda-laden attack against commercial fishing, and industrial manufacturing.  It rails against the shipping industry lambasting everyone who uses the ocean as a predatory consumer creating an irreversible carbon footprint that will bring about the destruction of the earth in the next few years.That's not what I wanted to buy, I wanted to see reef fish and sharks eating things.  Just know what you're getting...",1381536000,"10 12, 2013",1.0,-1
One star because I couldn't watch it - kept buffering. Video quality very poor and wouldn't play. Bummer.,1473724800,"09 13, 2016",1.0,-1
