reviewText,unixReviewTime,reviewTime
family loved this cute story that allows you to laugh and cry at the same time. What a dog. enjoy,1396742400,"04 6, 2014"
give this more than an O.K.,1474329600,"09 20, 2016"
"It's an old Cinderella story, what else is there to say? Jennifer Lopez was awesome like usual. She is probably the only reason why to see that movie. The soundtrack is great, nice music. It's better than just watching regular T.V.",1150675200,"06 19, 2006"
"Generally the story stinks.  Of course, it's offensively silly with Burt Reynolds in it.  But her character will get your empathy and your respect.  Good movies are studies of human nature, so that is what makes this movie good.",1415923200,"11 14, 2014"
OK movie. Not at the top of Wayne or O'hara's list.,1416096000,"11 16, 2014"
Bad movie. It was boring and predictable. I would not recommend it.,1414886400,"11 2, 2014"
good story,1442275200,"09 15, 2015"
Not nearly as good as expected. All the good thrilling parts are exactly what you see on the preview.,1437004800,"07 16, 2015"
It was ok.,1409097600,"08 27, 2014"
Stupid gratuitous gore that I think was trying to be funny.,1487376000,"02 18, 2017"
I finally saw this movie and it was NOT a good movie.  It is supposed to be a romantic comedy but there was nothing romantic or funny about this movie.  It was dull and boring.  Don't believe those 5 star reviews. This movie should not be considered a classic.,1381622400,"10 13, 2013"
"Very dated (late '60's type of humor) but still worth watching if you absolutely love Woody Allen's sense of comedy and his self-loathing study in cinematic pathos. I purchased a used copy and don't feel cheated. Perhaps a Woody Allen diehard fan's must have, but for the average person, this might be one of those you don't really need to own - or view. I watched it expecting more, but realized I've become overly sophisticated in my appreciation for comedy over the last four decades.  It's paced like a television movie-of-the-week, and there are long pauses throughout. The narrative theme is 40's years pass, but interesting for anyone who remembers ""Tenspeed and Brownshoe"" growing up...",1316649600,"09 22, 2011"
Ok,1409011200,"08 26, 2014"
Very good movie thank you,1509926400,"11 6, 2017"
Not good at all. The first movie was great. This was just weird slaughter garbage. Plot was horrid and I can watch some strange things. I would return of I wasn't a collector.,1435968000,"07 4, 2015"
A good film entertaining and good image quality,1411430400,"09 23, 2014"
"This director really has only one good movie - ""Event Horizon"" - and everything else is just plain bad, Resident Evil being absolutely no exception to this general rule of thumb and God help ""Aliens Vs Predator"" with the way things are shaping up.This film is marginally better than Ghosts of Mars, but only because Milla Jovovich goes around the place in a really very short mini-skirt and just happens to get skin sticking wet clothes towards the end of the picture. Overall the movie has extremely low production values and even lower prospects in the execution of the film. All of the sets looked contrived, i.e - they have no point being there other than to match scenes in the computer game or look interesting. Oh, yeah did we mention that this is based on a computer game? No, okay lets back up a bit here... Resident Evil just happens to be a really popular 3rd person zombie shoot 'em up horror survival game that they are now selling as a movie. Okay, let's move on...When the actors in this film are more robotic than the characters in the game then you know something has gone seriously wrong... and it has. Nobody in the cast is mildly recognizable except for Milla Jovovich, and they shouldn't be either, because they all suck real bad. The camera work is some of the worse seen in a long time. Why? Because it attracts attention itself almost all of time. Bad cinematography. For 35mm it looks like it was shot on video. The lighting is pretty good whenever it turns on or off but when it is static it is just useless. The editing is extremely bad at times and cuts fail to match. From an atheistic standpoint its all terrible production values for a Hollywood budget. The CGI also happens to be extremely, EXTREMELY, dodgy most of the times. You know when the animation looks like animation? Well x 100 times worse is what you get here. It looks terribly fake, and even the dogs covered in RED PAINT look very cheesy. Overall this is a really really really very bad production. The story is worse and even some of the.......Bah.Forget about me writing anymore. Not worth it. Just go play the game instead.",1075593600,"02 1, 2004"
"There have been a lot of mixed comments about this movie over the various review forums on the Net, (other than Amazon, which I have not read in depth). Some have really loved ""Fallen"" and some have particularly disliked it. For certain groups, there may be something to dislike. However, I thoroughly enjoyed the movie, and have since seen it many times.John Hobbes, (Washington), chasing a demonic serial killer is a great premise for a movie's plot, and something that has loads of potential to explore related themes. The movie does not scare you silly in the sense of making you jump with shock, (though in one place it does), but it more gives you a sense of forboding about what it is suggesting as possible: demons playing games with people and killing for fun. In this case, Azazel is the singing ""bad guy"" with an amazingly limited range of songs for someone over 10,000 years old, and is just having fun.Thought-provoking movies really are enjoyable, and this one certainly gives one a bit to think about. The only thing that I would have added to the movie, for which it had the potential, is more of the ""shock"" element. However, that is merely a personal taste, and certainly nothing to detract from the plot, the movie or the wonderful acting of the stars and cast.There are little clues throughout the movie, but not too many to give the game away to the viewer.As a supernatural thriller, ""Fallen"" is a fantastic story that is well told. If you are looking for something that will make you jump, sadly ""Fallen"" won't do that much. If you are just looking for a very disturbing and tense story with a twist, then ""Fallen"" is your thing. I loved it, simply put.",1116028800,"05 14, 2005"
kind of funny,1427328000,"03 26, 2015"
"A Perfect Murder was tense, well acted and so suspenseful....good story line",1418860800,"12 18, 2014"
"Too predictable, not terribly coherent, some eerie moments but nothing I hadn't really seen before.  I finished it but would rate it average",1385078400,"11 22, 2013"
"Hmmm, to be continued. Really?",1529971200,"06 26, 2018"
